"","plot_id","site_code","trt","year","block","plot","bray","turnover","nestedness"
"bray99","burrawan.au_NPK_2018_3_28","burrawan.au","NPK","2018","3","28",0.26791277258567,0.234527687296417,0.0333850852892529
"bray100","cereep.fr_Control_2014_1_ 1","cereep.fr","Control","2014","1"," 1",0.413223140495868,0.252631578947368,0.160591561548499
"bray101","cereep.fr_Control_2015_1_ 1","cereep.fr","Control","2015","1"," 1",0.291666666666667,0.233082706766917,0.0585839598997494
"bray102","cereep.fr_Control_2016_1_ 1","cereep.fr","Control","2016","1"," 1",0.392330383480826,0.313333333333333,0.0789970501474926
"bray103","cereep.fr_Control_2017_1_ 1","cereep.fr","Control","2017","1"," 1",0.276231263383298,0.119791666666667,0.156439596716631
"bray104","cereep.fr_Control_2019_1_ 1","cereep.fr","Control","2019","1"," 1",0.181286549707602,0.102564102564103,0.0787224471434998
"bray105","cereep.fr_Control_2020_1_ 1","cereep.fr","Control","2020","1"," 1",0.0925925925925926,0.0841121495327103,0.00848044305988231
"bray106","cereep.fr_NPK_2014_1_ 8","cereep.fr","NPK","2014","1"," 8",0.589519650655022,0.580357142857143,0.00916250779787898
"bray107","cereep.fr_NPK_2015_1_ 8","cereep.fr","NPK","2015","1"," 8",0.507575757575758,0.453781512605042,0.0537942449707156
"bray108","cereep.fr_NPK_2016_1_ 8","cereep.fr","NPK","2016","1"," 8",0.722397476340694,0.706666666666667,0.0157308096740273
"bray109","cereep.fr_NPK_2017_1_ 8","cereep.fr","NPK","2017","1"," 8",0.336538461538462,0.316831683168317,0.0197067783701447
"bray110","cereep.fr_NPK_2019_1_ 8","cereep.fr","NPK","2019","1"," 8",0.681592039800995,0.623529411764706,0.0580626280362891
"bray111","cereep.fr_NPK_2020_1_ 8","cereep.fr","NPK","2020","1"," 8",0.481865284974093,0.450549450549451,0.0313158344246427
"bray112","cereep.fr_Control_2014_2_11","cereep.fr","Control","2014","2","11",0.315926892950392,0.259887005649718,0.0560398873006741
"bray113","cereep.fr_Control_2015_2_11","cereep.fr","Control","2015","2","11",0.390334572490706,0.369230769230769,0.0211038032599371
"bray114","cereep.fr_Control_2016_2_11","cereep.fr","Control","2016","2","11",0.559471365638767,0.553571428571429,0.00589993706733795
"bray115","cereep.fr_Control_2017_2_11","cereep.fr","Control","2017","2","11",0.427272727272727,0.411214953271028,0.0160577740016992
"bray116","cereep.fr_Control_2019_2_11","cereep.fr","Control","2019","2","11",0.465116279069767,0.333333333333333,0.131782945736434
"bray117","cereep.fr_Control_2020_2_11","cereep.fr","Control","2020","2","11",0.229885057471264,0.1625,0.0673850574712644
"bray118","cereep.fr_NPK_2014_2_18","cereep.fr","NPK","2014","2","18",0.426865671641791,0.4,0.026865671641791
"bray119","cereep.fr_NPK_2015_2_18","cereep.fr","NPK","2015","2","18",0.587786259541985,0.584615384615385,0.00317087492660012
"bray120","cereep.fr_NPK_2016_2_18","cereep.fr","NPK","2016","2","18",0.823788546255507,0.803921568627451,0.0198669776280556
"bray121","cereep.fr_NPK_2017_2_18","cereep.fr","NPK","2017","2","18",0.614035087719298,0.584905660377358,0.0291294273419398
"bray122","cereep.fr_NPK_2019_2_18","cereep.fr","NPK","2019","2","18",0.682758620689655,0.41025641025641,0.272502210433245
"bray123","cereep.fr_NPK_2020_2_18","cereep.fr","NPK","2020","2","18",0.41747572815534,0.387755102040816,0.0297206261145235
"bray124","cereep.fr_Control_2014_3_21","cereep.fr","Control","2014","3","21",0.300859598853868,0.158620689655172,0.142238909198696
"bray125","cereep.fr_Control_2015_3_21","cereep.fr","Control","2015","3","21",0.325670498084291,0.301587301587302,0.0240831964969896
"bray126","cereep.fr_Control_2016_3_21","cereep.fr","Control","2016","3","21",0.391304347826087,0.391304347826087,0
